"","GEOID","NAME","county","avg_hh_inc_quint_2ndlow_trc","avg_hh_inc_quint_3rdlow_trc","avg_hh_inc_quint_4thlow_trc","avg_hh_inc_quint_lowest_trc","avg_hh_inc_quint_top_trc","avg_hh_inc_vent_top_trc","est_tot_transp2work","gini_trc","hh_noworker_n_trc","hh_tot_n_trc","noinc_15up_trc","per_cap_inc_trc","per_cap_wht_inc_trc","pop_15up_trc","pop_trc","ratio_incpov_trc","yesinc_15up_trc","geoid","wht_prem_p_trc","palma"
"112","41007950900","Census Tract 9509","Clatsop County",26430,45509,73185,13991,121822,164434,2155,0.3954,645,1987,188,26044,25937,3917,4441,546,3729,41007950900,0.995891568115497,8.13606788550506
"113","41007951100","Census Tract 9511","Clatsop County",28831,49011,83100,12562,180310,305202,2056,0.4757,705,1869,270,30035,29110,3818,4618,922,3548,41007951100,0.969202596970201,14.746551349262
"114","41007951200","Census Tract 9512","Clatsop County",34432,57162,81315,11514,143139,231487,1176,0.406,491,1229,287,26628,26455,2556,3110,614,2269,41007951200,0.993503079465225,10.0764810864928
"115","41007951300","Census Tract 9513","Clatsop County",37427,66217,99329,13909,171580,243374,1163,0.4116,383,1002,110,33322,34264,2270,2512,290,2160,41007951300,1.02826961166797,9.4816113448652
"116","41007990000","Census Tract 9900","Clatsop County",NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,0,41007990000,NA,NA
"117","41009970200","Census Tract 9702","Columbia County",29864,49007,72133,9542,162465,274923,2189,0.4658,1078,2503,868,26097,27295,5462,6516,1253,4594,41009970200,1.04590565965437,13.9533573567477
"118","41009970300","Census Tract 9703","Columbia County",34914,55656,82488,15489,153410,210563,1783,0.4009,768,1733,615,25619,25697,4086,4873,825,3471,41009970300,1.00304461532456,8.35517727119417
"119","41009970400","Census Tract 9704","Columbia County",39054,57759,86876,15678,148393,222546,912,0.3848,431,968,443,26116,26852,2332,2641,473,1889,41009970400,1.02818195742074,8.13220784915589
"120","41009970500","Census Tract 9705","Columbia County",46337,72709,97818,20749,169465,264184,3078,0.3684,704,2522,759,32056,32605,5732,6620,1217,4973,41009970500,1.01712627901173,7.87598008526369
"121","41009970600","Census Tract 9706","Columbia County",48615,73963,109756,24276,239517,454526,2317,0.4323,700,2036,456,36994,37754,4553,5668,1182,4097,41009970600,1.02054387197924,12.4713887859955
"122","41009970700","Census Tract 9707","Columbia County",33052,51109,74111,12415,121706,173711,1830,0.3777,412,1597,371,23967,23792,3320,4091,976,2949,41009970700,0.992698293486878,7.641190313854
"123","41009970800","Census Tract 9708","Columbia County",26900,48611,78298,8962,150556,236653,2973,0.4561,952,2782,924,24860,23889,5946,7316,1777,5022,41009970800,0.960941271118262,13.1979811499638
"124","41009970900","Census Tract 9709","Columbia County",43155,70663,96668,16211,161874,225953,2259,0.3767,623,2039,280,34045,34574,3871,4773,1003,3591,41009970900,1.01553825818769,7.61220227065997
"125","41009971000","Census Tract 9710","Columbia County",45696,75437,108775,19153,221005,407486,2350,0.4326,484,1821,409,35621,36205,3937,4973,1150,3528,41009971000,1.0163948232784,12.5672254005459
"126","41009971100","Census Tract 9711","Columbia County",39616,58317,85256,16744,124715,158131,1401,0.3401,414,1295,422,25286,25287,2798,3380,672,2376,41009971100,1.00003954757573,5.61146202980837
"127","41011000100","Census Tract 1","Coos County",28461,43894,68755,12366,141513,223129,1969,0.4346,1191,2444,575,31358,32257,4788,5428,755,4213,41011000100,1.02866892021175,10.9304626840081
