school_year,fipst,statename,sch_name,st_leaid,leaid,st_schid,ncessch,teachers
2014-2015,41,OREGON,Cascade Middle School,00000000002088,4102040,00000000000000000581,410204000621,17.50
2014-2015,41,OREGON,Shasta Middle School,00000000002088,4102040,00000000000000000587,410204000622,18.83
2014-2015,41,OREGON,Willamette High School,00000000002088,4102040,00000000000000000588,410204000623,57.86
2014-2015,41,OREGON,Meadow View School,00000000002088,4102040,00000000000000002264,410204001391,33.60
2014-2015,41,OREGON,Kalapuya High School,00000000002088,4102040,00000000000000003566,410204004178,8.00
2014-2015,41,OREGON,Prairie Mountain School,00000000002088,4102040,00000000000000003567,410204004179,34.82
2014-2015,41,OREGON,Triangle Lake Charter School,00000000002095,4102160,00000000000000003401,410216000641,16.65
2014-2015,41,OREGON,Black Butte Elementary School,00000000002052,4102190,00000000000000000428,410219000449,3.00
2014-2015,41,OREGON,Azalea Middle School,00000000001974,4102310,00000000000000000235,410231000253,15.00
2014-2015,41,OREGON,Kalmiopsis Elementary School,00000000001974,4102310,00000000000000000236,410231000254,30.97
2014-2015,41,OREGON,Brookings-Harbor High School,00000000001974,4102310,00000000000000000237,410231000255,21.97
2014-2015,41,OREGON,Henry L Slater Elementary School,00000000002014,4102490,00000000000000000342,410249000361,18.03
2014-2015,41,OREGON,Hines Middle School,00000000002014,4102490,00000000000000000355,410249000363,10.56
2014-2015,41,OREGON,Burns High School,00000000002014,4102490,00000000000000000359,410249000379,13.50
2014-2015,41,OREGON,Burns Alternative School,00000000002014,4102490,00000000000000003740,410249001520,2.00
2014-2015,41,OREGON,Butte Falls Charter School,00000000002046,4102580,00000000000000000406,410258000426,11.00
2014-2015,41,OREGON,Camas Valley School,00000000001995,4102610,00000000000000003400,410261000315,15.40
2014-2015,41,OREGON,Carus School,00000000001929,4102640,00000000000000000092,410264000100,17.05
2014-2015,41,OREGON,William Knight Elementary School,00000000001929,4102640,00000000000000000122,410264000130,20.00
2014-2015,41,OREGON,Howard Eccles Elementary School,00000000001929,4102640,00000000000000000124,410264000132,22.80
2014-2015,41,OREGON,Ninety-One School,00000000001929,4102640,00000000000000000127,410264000135,19.45
2014-2015,41,OREGON,Canby High School,00000000001929,4102640,00000000000000000140,410264000148,65.13
2014-2015,41,OREGON,Cecile Trost Elementary School,00000000001929,4102640,00000000000000001307,410264000165,20.31
2014-2015,41,OREGON,Baker Prairie Middle School,00000000001929,4102640,00000000000000004434,410264001651,28.00
2014-2015,41,OREGON,Philander Lee Elementary School,00000000001929,4102640,00000000000000004435,410264001659,17.58
2014-2015,41,OREGON,Aumsville Elementary School,00000000002139,4102780,00000000000000000719,410278000767,26.64
2014-2015,41,OREGON,Turner Elementary School,00000000002139,4102780,00000000000000000790,410278000835,11.61
2014-2015,41,OREGON,Cloverdale Elementary School,00000000002139,4102780,00000000000000000806,410278000851,8.96
2014-2015,41,OREGON,Cascade Junior High School,00000000002139,4102780,00000000000000000810,410278000855,28.53
2014-2015,41,OREGON,Cascade Senior High School,00000000002139,4102780,00000000000000000811,410278000856,38.87
2014-2015,41,OREGON,Lynch Meadows Elementary School,00000000002185,4102800,00000000000000000959,410280001012,24.25
2014-2015,41,OREGON,Centennial Middle School,00000000002185,4102800,00000000000000000960,410280001013,44.32
2014-2015,41,OREGON,Oliver Elementary School,00000000002185,4102800,00000000000000000962,410280001015,20.12
2014-2015,41,OREGON,Parklane Elementary School,00000000002185,4102800,00000000000000000963,410280001016,24.12
2014-2015,41,OREGON,Lynch View Elementary School,00000000002185,4102800,00000000000000000964,410280001017,23.93
2014-2015,41,OREGON,Lynch Wood Elementary School,00000000002185,4102800,00000000000000000965,410280001018,26.31
2014-2015,41,OREGON,Pleasant Valley Elementary School,00000000002185,4102800,00000000000000000966,410280001019,18.85
2014-2015,41,OREGON,Centennial High School,00000000002185,4102800,00000000000000000967,410280001020,72.01
2014-2015,41,OREGON,Centenial Park School,00000000002185,4102800,00000000000000001367,410280001221,11.85
2014-2015,41,OREGON,Butler Creek Elementary School,00000000002185,4102800,00000000000000003649,410280001574,25.00
2014-2015,41,OREGON,Independence Elementary School,00000000002191,4102840,00000000000000000998,410284001054,19.22
2014-2015,41,OREGON,Monmouth Elementary School,00000000002191,4102840,00000000000000000999,410284001055,25.50
2014-2015,41,OREGON,Talmadge Middle School,00000000002191,4102840,00000000000000001001,410284001057,33.07
2014-2015,41,OREGON,Central High School,00000000002191,4102840,00000000000000001002,410284001058,41.53
2014-2015,41,OREGON,Ash Creek Elementary School,00000000002191,4102840,00000000000000003464,410284001461,22.42
