school_year,fipst,statename,sch_name,lea_name,st_leaid,leaid,st_schid,ncessch,sy_status_text,sch_type_text,recon_status,charter_text,g_pk_offered
2014-2015,41,OREGON,Memorial Middle School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000642,410112000733,Open,Regular School,No,No,N
2014-2015,41,OREGON,North Albany Middle School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000638,410112000734,Open,Regular School,No,No,N
2014-2015,41,OREGON,West Albany High School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000649,410112000735,Open,Regular School,No,No,N
2014-2015,41,OREGON,South Albany High School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000650,410112000736,Open,Regular School,No,No,N
2014-2015,41,OREGON,Albany Options School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000003950,410112001577,Open,Alternative Education School,No,No,N
2014-2015,41,OREGON,Timber Ridge School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000004744,410112001773,Open,Regular School,No,No,N
2014-2015,41,OREGON,Alsea High School,Alsea SD 7J,00000000001899,4101200,00000000000000000017,410120000019,Open,Regular School,No,No,N
2014-2015,41,OREGON,Alsea Elementary School,Alsea SD 7J,00000000001899,4101200,00000000000000000016,410120001502,Open,Regular School,No,No,N
2014-2015,41,OREGON,Amity Elementary School,Amity SD 4J,00000000002252,4101230,00000000000000001208,410123001260,Open,Regular School,No,No,N
2014-2015,41,OREGON,Amity High School,Amity SD 4J,00000000002252,4101230,00000000000000001210,410123001263,Open,Regular School,No,No,N
2014-2015,41,OREGON,Amity Middle School,Amity SD 4J,00000000002252,4101230,00000000000000001209,410123001320,Open,Regular School,No,No,N
2014-2015,41,OREGON,Eola Hills Charter School,Amity SD 4J,00000000002252,4101230,00000000000000004505,410123001653,Open,Regular School,No,Yes,N
2014-2015,41,OREGON,Annex Charter School,Annex SD 29,00000000002111,4101350,00000000000000000705,410135000753,Open,Regular School,No,Yes,N
2014-2015,41,OREGON,Arlington Community Charter School,Arlington SD 3,00000000002005,4101470,00000000000000000323,410147000343,Open,Regular School,No,Yes,N
2014-2015,41,OREGON,W W Jones Elementary School,Arock SD 81,00000000002115,4101500,00000000000000000711,410150000759,Open,Regular School,No,No,N
2014-2015,41,OREGON,Bellview Elementary School,Ashland SD 5,00000000002041,4101560,00000000000000000375,410156000395,Open,Regular School,No,No,N
2014-2015,41,OREGON,Helman Elementary School,Ashland SD 5,00000000002041,4101560,00000000000000000377,410156000397,Open,Regular School,No,No,N
2014-2015,41,OREGON,Walker Elementary School,Ashland SD 5,00000000002041,4101560,00000000000000000379,410156000399,Open,Regular School,No,No,N
2014-2015,41,OREGON,Ashland Middle School,Ashland SD 5,00000000002041,4101560,00000000000000000380,410156000400,Open,Regular School,No,No,N
2014-2015,41,OREGON,Ashland High School,Ashland SD 5,00000000002041,4101560,00000000000000000381,410156000401,Open,Regular School,No,No,N
2014-2015,41,OREGON,John Muir Elementary School,Ashland SD 5,00000000002041,4101560,00000000000000004476,410156001654,Open,Regular School,No,No,N
2014-2015,41,OREGON,Ashwood Elementary School,Ashwood SD 8,00000000002051,4101590,00000000000000000427,410159000448,Open,Regular School,No,No,N
2014-2015,41,OREGON,Astor Elementary School,Astoria SD 1,00000000001933,4101620,00000000000000000143,410162000152,Open,Regular School,No,No,N
2014-2015,41,OREGON,Astoria Middle School,Astoria SD 1,00000000001933,4101620,00000000000000000144,410162000153,Open,Regular School,No,No,N
2014-2015,41,OREGON,Astoria Senior High School,Astoria SD 1,00000000001933,4101620,00000000000000000146,410162000155,Open,Regular School,No,No,N
2014-2015,41,OREGON,Lewis & Clark Elementary School,Astoria SD 1,00000000001933,4101620,00000000000000000147,410162000156,Open,Regular School,No,No,N
2014-2015,41,OREGON,Athena Elementary School,Athena-Weston SD 29RJ,00000000002208,4101660,00000000000000001053,410166001112,Open,Regular School,No,No,N
2014-2015,41,OREGON,Weston Middle School,Athena-Weston SD 29RJ,00000000002208,4101660,00000000000000001055,410166001114,Open,Regular School,No,No,N
2014-2015,41,OREGON,Weston-McEwen High School,Athena-Weston SD 29RJ,00000000002208,4101660,00000000000000001056,410166001115,Open,Regular School,No,No,N
2014-2015,41,OREGON,Baker Middle School,Baker SD 5J,00000000001894,4101710,00000000000000000001,410171000001,Open,Regular School,No,No,N
2014-2015,41,OREGON,Brooklyn Primary School,Baker SD 5J,00000000001894,4101710,00000000000000000002,410171000002,Open,Regular School,No,No,N
2014-2015,41,OREGON,South Baker Intermediate School,Baker SD 5J,00000000001894,4101710,00000000000000000007,410171000007,Open,Regular School,No,No,N
2014-2015,41,OREGON,Baker High School,Baker SD 5J,00000000001894,4101710,00000000000000000008,410171000009,Open,Regular School,No,No,N
2014-2015,41,OREGON,Haines Elementary School,Baker SD 5J,00000000001894,4101710,00000000000000000004,410171000030,Open,Regular School,No,No,N
2014-2015,41,OREGON,Keating Elementary School,Baker SD 5J,00000000001894,4101710,00000000000000000005,410171000034,Open,Regular School,No,No,N
2014-2015,41,OREGON,EAGLE CAP Innovative HS,Baker SD 5J,00000000001894,4101710,00000000000000003493,410171001516,Open,Alternative Education School,No,No,N
2014-2015,41,OREGON,Baker Web Academy,Baker SD 5J,00000000001894,4101710,00000000000000004728,410171001767,Open,Regular School,No,Yes,N
2014-2015,41,OREGON,Baker Early College,Baker SD 5J,00000000001894,4101710,00000000000000004759,410171001783,Open,Regular School,No,Yes,N
2014-2015,41,OREGON,Burnt River School,Burnt River SD 30J,00000000001896,4101740,00000000000000003347,410174000013,Open,Regular School,No,Yes,N
2014-2015,41,OREGON,Harbor Lights Middle School,Bandon SD 54,00000000001969,4101800,00000000000000000216,410180000235,Open,Regular School,No,No,N
2014-2015,41,OREGON,Ocean Crest Elementary School,Bandon SD 54,00000000001969,4101800,00000000000000000217,410180000236,Open,Regular School,No,No,N
2014-2015,41,OREGON,Bandon Senior High School,Bandon SD 54,00000000001969,4101800,00000000000000000218,410180000237,Open,Regular School,No,No,N
2014-2015,41,OREGON,Banks Elementary School,Banks SD 13,00000000002240,4101830,00000000000000001120,410183001176,Open,Regular School,No,No,N
2014-2015,41,OREGON,Banks Middle School,Banks SD 13,00000000002240,4101830,00000000000000001123,410183001179,Open,Regular School,No,No,N
2014-2015,41,OREGON,Banks High School,Banks SD 13,00000000002240,4101830,00000000000000001124,410183001180,Open,Regular School,No,No,N
2014-2015,41,OREGON,Nancy Ryles Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001303,410192000210,Open,Regular School,No,No,N
2014-2015,41,OREGON,Arts and Communication Magnet Academy,Beaverton SD 48J,00000000002243,4101920,00000000000000001304,410192000213,Open,Regular School,No,No,N
2014-2015,41,OREGON,Community School,Beaverton SD 48J,00000000002243,4101920,00000000000000001305,410192000220,Open,Alternative Education School,No,No,N
2014-2015,41,OREGON,School of Science & Technology,Beaverton SD 48J,00000000002243,4101920,00000000000000001314,410192000536,Open,Regular School,No,No,N
2014-2015,41,OREGON,Conestoga Middle School,Beaverton SD 48J,00000000002243,4101920,00000000000000001319,410192000552,Open,Regular School,No,No,N
2014-2015,41,OREGON,Westview High School,Beaverton SD 48J,00000000002243,4101920,00000000000000001320,410192000554,Open,Regular School,No,No,N
2014-2015,41,OREGON,Aloha-Huber Park School,Beaverton SD 48J,00000000002243,4101920,00000000000000001153,410192001204,Open,Regular School,No,No,Y
2014-2015,41,OREGON,Barnes Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001154,410192001205,Open,Regular School,No,No,N
2014-2015,41,OREGON,Beaver Acres Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001155,410192001206,Open,Regular School,No,No,N
2014-2015,41,OREGON,Bethany Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001156,410192001207,Open,Regular School,No,No,N
2014-2015,41,OREGON,Cedar Mill Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001158,410192001210,Open,Regular School,No,No,N
2014-2015,41,OREGON,Chehalem Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001159,410192001211,Open,Regular School,No,No,N
2014-2015,41,OREGON,Cooper Mountain Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001160,410192001212,Open,Regular School,No,No,N
2014-2015,41,OREGON,Fir Grove Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001163,410192001213,Open,Regular School,No,No,N
2014-2015,41,OREGON,Hazeldale Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001164,410192001215,Open,Regular School,No,No,N
2014-2015,41,OREGON,Hiteon Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001165,410192001216,Open,Regular School,No,No,N
2014-2015,41,OREGON,Kinnaman Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001166,410192001217,Open,Regular School,No,No,N
2014-2015,41,OREGON,McKay Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001168,410192001219,Open,Regular School,No,No,N
2014-2015,41,OREGON,McKinley Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001169,410192001220,Open,Regular School,No,No,N
2014-2015,41,OREGON,Montclair Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001170,410192001222,Open,Regular School,No,No,N
2014-2015,41,OREGON,Oak Hills Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001171,410192001223,Open,Regular School,No,No,N
2014-2015,41,OREGON,Raleigh Hills Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001172,410192001224,Open,Regular School,No,No,N
2014-2015,41,OREGON,Raleigh Park Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001173,410192001225,Open,Regular School,No,No,N
2014-2015,41,OREGON,Ridgewood Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001174,410192001226,Open,Regular School,No,No,N
2014-2015,41,OREGON,Rock Creek Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001175,410192001227,Open,Regular School,No,No,N
2014-2015,41,OREGON,Terra Linda Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001176,410192001229,Open,Regular School,No,No,N
2014-2015,41,OREGON,Vose Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001177,410192001230,Open,Regular School,No,No,N
2014-2015,41,OREGON,West Tualatin View Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001178,410192001231,Open,Regular School,No,No,N
2014-2015,41,OREGON,William Walker Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001179,410192001232,Open,Regular School,No,No,N
2014-2015,41,OREGON,Cedar Park Middle School,Beaverton SD 48J,00000000002243,4101920,00000000000000001180,410192001233,Open,Regular School,No,No,N
2014-2015,41,OREGON,Five Oaks Middle School,Beaverton SD 48J,00000000002243,4101920,00000000000000001181,410192001234,Open,Regular School,No,No,N
2014-2015,41,OREGON,Meadow Park Middle School,Beaverton SD 48J,00000000002243,4101920,00000000000000001182,410192001235,Open,Regular School,No,No,N
2014-2015,41,OREGON,Mountain View Middle School,Beaverton SD 48J,00000000002243,4101920,00000000000000001183,410192001236,Open,Regular School,No,No,N
2014-2015,41,OREGON,Highland Park Middle School,Beaverton SD 48J,00000000002243,4101920,00000000000000001184,410192001237,Open,Regular School,No,No,N
2014-2015,41,OREGON,Whitford Middle School,Beaverton SD 48J,00000000002243,4101920,00000000000000001185,410192001238,Open,Regular School,No,No,N
2014-2015,41,OREGON,Aloha High School,Beaverton SD 48J,00000000002243,4101920,00000000000000001186,410192001239,Open,Regular School,No,No,N
2014-2015,41,OREGON,Beaverton High School,Beaverton SD 48J,00000000002243,4101920,00000000000000001187,410192001240,Open,Regular School,No,No,N
2014-2015,41,OREGON,Sunset High School,Beaverton SD 48J,00000000002243,4101920,00000000000000001188,410192001241,Open,Regular School,No,No,N
2014-2015,41,OREGON,Findley Elementary,Beaverton SD 48J,00000000002243,4101920,00000000000000001370,410192001262,Open,Regular School,No,No,N
2014-2015,41,OREGON,Greenway Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001157,410192001289,Open,Regular School,No,No,N
2014-2015,41,OREGON,Errol Hassell Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001161,410192001301,Open,Regular School,No,No,N
2014-2015,41,OREGON,Elmonica Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001162,410192001321,Open,Regular School,No,No,N
2014-2015,41,OREGON,Sexton Mountain Elementary School,Beaverton SD 48J,00000000002243,4101920,00000000000000001270,410192001348,Open,Regular School,No,No,N
